,,,,,,,,Port,Country,2014
128,Coronel,Chile, 	522 ,0.001,667,,,,,
129,New Orleans (a),United States,491,0.001,"2,386",,,,,
130,San Vicente,Chile, 	476 ,0.001,159,,,,,
131,Chibatão,Brazil,463,0.001,"1,090",,,,,
132,Philadelphia,United States,449,0.001,226,,,,,
133,Suape,Brazil,413,0.001,4,,,,,
134,Rio de Janeiro,Brazil,412,0.001,915,,,,,
135,Puerto Barrios,Guatemala,400,0.001,303,,,,,
136,Halifax,Canada,400,0.001,40,,,,,
137,Itajai,Brazil,371,0.001,6,,,,,
138,Puerto Quetzal,Guatemala,358,0.001,39,,,,,
139,Wilmington(DE),United States,334,0.001,102,,,,,
140,Haina,Dominican Republic,303,0.001,"1,621",,,,,
141,La Guaira,Venezuela,287,0.001,49,,,,,
142,Wilmington(NC),United States,279,0.001,98,,,,,
143,Salvador,Brazil,274,0.001,577,,,,,
144,Palm Beach (FY),United States,263,0.001,7,,,,,
145,Vitoria,Brazil,247,0.001,400,,,,,
146,Itaguai/Sepetiba,Brazil,243,0.001,358,,,,,
147,Iquique,Chile, 	241 ,0.001,526,,,,,
148,Mobile (b),United States,238,0.001,"3,236",,,,,
149,PSA - Panama Int'l Terminals,Panama,232,0.001,"2,564",,,,,
150,Caldera,Costa Rica, 	226 ,0.001,713,,,,,
151,Arica,Chile, 	218 ,0.001,232,,,,,
152,Boston,United States,214,0.001,1,,,,,
153,Paita,Peru,205,0.001,"1,992",,,,,
154,Pecem,Brazil,195,0.001,3,,,,,
155,Gulfport,United States,188,0.001,0,,,,,
156,Superterminais/Manaus,Brazil,176,0.001,205,,,,,
157,Portland(OR),United States,165,0.001,21,,,,,
158,Apra (GUAM),United States,161,0.001,0,,,,,
159,Santa Marta ,Colombia,159,0.001,0,,,,,
160,Ensenada,Mexico,140,0,763,,,,,
161,Zarate,Argentina,129,0.001,287,,,,,
162,San Diego,United States,109,0.001,57,,,,,
163,Lirquen,Chile, 	106 ,0.001,542,,,,,
164,Esmeraldas,Ecuador,102,0.001,"1,401",,,,,
165,Kahului (FY),United States,100,0.001,129,,,,,
166,Puerto Castillo,Honduras,98,0.001,64,,,,,
167,Hueneme,United States,97,0.001,"1,607",,,,,
168,Sao Francisco do Sul,Brazil,93,,,,,,,
169,Freeport,United States,92,,,,,,,
170,Saint John,Canada,90,,,,,,,
171,Fortaleza,Brazil,89,,,,,,,
172,Antofagasta,Chile, 	82 ,,,,,,,
173,Kawaihae (FY),United States,76,,,,,,,
174,Vila do Conde,Brazil,68,,,,,,,
175,Progreso,Mexico,66,,,,,,,
176,Ushuaia,Argentina,64,,,,,,,
177,Maracaibo,Venezuela,57,,,,,,,
178,Puerto Bolivar,Ecuador,49,,,,,,,
